date,crude oil output (10000 tons),crude oil processing output(10000 tons),gas output (100 million m^3),hydropower generation (100 million kwh),natural gas output (100 million m^3),nuclear power generation (100 million kwh),raw coal output (10000 tons),solar power generation (100 million kwh),thermal power generation (100 million kwh),wind power generation (100 million kwh),new_cases,new_deaths,new_vaccinations,total_case,total_deaths,total_vaccinations
2018-10-01,1608.9,5278.4,1013.2,1121.2,134.2,251.8,30513.1,79.5,3629.4,248.1,0,0,0,0,0,0
2018-11-01,1553.4,5045.7,975.5,879.3,142.7,278.6,31541.5,70.5,4050.7,263.8,0,0,0,0,0,0
2018-12-01,1633.3,5116.9,1007.1,717.5,152.5,305.9,32038.3,62.4,4775.9,338.2,0,0,0,0,0,0
2019-01-01,1457.5,5126.9,1038.8,677.8,144.6,243.1,25685.4,74.8,4213.9,287.1,0,0,0,0,0,0
2019-02-01,1611.7,5122.1,1033.5,674.4,142.2,240.6,25681.7,72.7,4212.8,284.6,0,0,0,0,0,0
2019-03-01,1654.2,5303.7,1150.1,808.5,150.6,286.6,29835.3,101.3,4159.7,341.7,0,0,0,0,0,0
2019-04-01,1571.1,5210.3,1237.3,829.1,140.8,278,29429,104,3886.2,342.9,0,0,0,0,0,0
2019-05-01,1623,5189.9,1263.1,1025.1,144.2,272,31239.4,108.1,3830.6,353.2,0,0,0,0,0,0
2019-06-01,1610,5369.5,1257.9,1136.1,139.2,279.7,33335,102.9,4051.9,263.3,0,0,0,0,0,0
2019-07-01,1628.7,5259.5,1217.9,1374.3,139,313.1,32222.7,107.2,4562.5,215.9,0,0,0,0,0,0
2019-08-01,1618.2,5400.3,1253.3,1294.5,138.1,328.5,31602,108.7,4728.5,222.1,0,0,0,0,0,0
2019-09-01,1564.3,5648.6,1211.7,1129.5,135.2,296.7,32414.1,107.8,4149.6,224.7,0,0,0,0,0,0
2019-10-01,1611.3,5783.5,1220.9,1074.2,145.6,287.6,32486.8,96.6,3969.5,286.2,0,0,0,0,0,0
2019-11-01,1570.4,5608,1217.3,820.2,150.8,325.4,33405.7,84.9,4325.1,334.2,0,0,0,0,0,0
2019-12-01,1606.5,5850.9,1232.6,687,160.2,332.1,33174.2,84.6,5081.7,358.8,0,0,0,0,0,0
2020-01-01,1569.1,4960.6,1205,608.6,158.4,237.1,24454.9,91.3,3907.1,298.7,9242,196,0,9242,196,0
2020-02-01,1631.1,4958.8,1200.2,605.3,155.7,236.1,24447.7,87.9,3899.5,294.9,69471,2622,0,78713,2818,0
2020-03-01,1656.3,5003.7,1217.3,763.4,168.6,306.3,33726,128.9,3894,432.2,2304,470,0,81017,3288,0
2020-04-01,1587.5,5385,1260.9,757.4,161.4,307.8,32212.1,134.8,3978.8,364,1354,1328,0,82371,4616,0
2020-05-01,1645.6,5790.4,1347.2,857.6,159.4,310.8,31884,132.8,4234.8,396.2,143,1,0,82514,4617,0
2020-06-01,1624.2,5787.2,1351.2,1215.3,151.9,317.7,33427.6,124.1,4323.4,323.6,518,0,0,83032,4617,0
2020-07-01,1646.3,5956.1,1375.8,1463.1,142.4,334.1,31794.1,121.6,4599.5,282.9,803,0,0,83835,4617,0
2020-08-01,1665.1,5947.4,1387.9,1409.8,142.1,331.6,32580.9,125.8,5090.4,280.7,721,0,0,84556,4617,0
2020-09-01,1609.6,5735.1,1343.6,1384.7,145.9,318.7,33107.3,121.2,4223.3,267.2,354,0,0,84910,4617,0
2020-10-01,1641.2,5981.7,1361.9,1349.3,163.2,286.7,33662.8,116.1,3991,351.2,585,0,0,85495,4617,0
2020-11-01,1596.5,5835,1286.9,916.6,168.6,322.9,34727.3,100.2,4701.4,377.6,545,0,0,86040,4617,0
2020-12-01,1626.8,6000,1338.5,764.1,187.1,352.8,35189.3,104.3,5646.7,409.2,529,0,0,86569,4617,0
2021-01-01,1540.4,5715.3,1296.9,648.1,174.5,294,30882.7,124.3,4697.8,458.5,2494,2,0,89063,4619,0
2021-02-01,1667.8,5708.9,1295,644.2,173.8,289.8,30876.6,122.4,4692.1,456,349,0,0,89412,4619,0
2021-03-01,1709.4,5979.1,1340.9,669.6,184.7,342.1,34076.2,141,4952.9,473.4,305,0,39361000,89717,4619,39361000
2021-04-01,1640.7,5790.4,1355.7,776.1,168.6,323.7,32221.7,143.6,4517.1,469.5,455,0,145243000,90172,4619,184604000
2021-05-01,1702.8,6050.1,1390,955.9,168.8,342.5,32628.9,165.6,4507.3,506.6,453,0,396404000,90625,4619,581008000
2021-06-01,1666.8,6082,1348.2,1141.6,172.2,358.8,32318.6,161,4813.2,385.9,673,0,583207000,91298,4619,1164215000
2021-07-01,1687.2,5905.6,1300.2,1422.2,157.6,382.2,31417.4,162.2,5239.7,379.7,1220,0,408144000,92518,4619,1572359000
